Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Parental_Education,GPA_Trend,Time_Pressure,Income_Study_Ratio,Gender_Male,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes
18.6,-0.4753235275518298,4.61,77.5,3,10.2,3.6,4.0,3.55,3.48,3,1,0.06999999999999984,190.2,5072.014260249554,False,True,False,False
21.1,2.79773056352994,4.73,78.2,0,29.6,5.2,2.38,2.13,2.13,4,3,0.0,29.6,16340.837696335077,False,True,True,True
22.1,-0.4084855123133353,4.027431865828092,94.4,1,23.8,5.515947888589398,4.0,4.0,4.0,2,1,0.0,83.8,5924.496004103275,False,True,True,True
18.9,-0.5053027124484348,2.87,74.2,1,36.1,6.9,2.76,3.06,3.06,1,5,0.0,96.1,7198.191214470284,False,False,False,True
22.4,-0.2882172579961344,2.43,60.8,1,39.5,2.3,1.05,0.68,0.68,4,3,0.0,99.5,9381.924198250728,True,True,False,False
17.3,0.32437248497486104,4.11,87.2,2,5.0,6.8,2.29,2.52,2.49,4,4,0.029999999999999805,125.0,8684.735812133073,False,True,False,False
20.0,1.7952105513426335,1.52,86.4,5,36.2,5.8,1.51,1.73,1.78,2,1,-0.050000000000000044,336.2,29233.73015873016,True,False,False,False
20.0,-0.4084855123133353,4.027431865828092,80.4,2,45.4,5.515947888589398,1.74,1.54,1.59,2,2,-0.050000000000000044,165.4,5924.496004103275,True,True,True,False
22.3,5.5154415963679,4.64,79.2,2,26.1,5.3,0.0,0.0,0.0,1,2,0.0,146.1,26197.340425531915,True,True,False,False
24.3,-0.26054802704466146,4.8,94.8,2,22.6,3.9,4.0,3.95,3.95,1,1,0.0,142.6,5643.275862068966,True,True,False,True
21.0,-0.57761431420909,5.28,76.2,3,10.2,6.4,0.92,1.12,1.12,1,1,0.0,190.2,4206.528662420382,True,True,False,False
20.9,-0.6487709389971793,1.98,76.2,2,19.1,3.4,2.1,2.26,2.29,3,1,-0.03000000000000025,139.1,8389.261744966443,True,True,False,True
21.1,-0.6487709389971793,3.88,76.1,3,27.5,7.6,0.86,1.38,1.43,2,2,-0.050000000000000044,207.5,5122.950819672131,False,True,False,True
20.3,-0.4438378509518779,5.78,84.5,2,33.2,7.7,2.23,2.62,2.62,1,2,0.0,153.2,4289.233038348082,True,False,False,False
17.0,-0.17653600638801129,2.68,81.2,0,37.8,4.5,1.46,1.08,1.08,1,2,0.0,37.8,9348.91304347826,False,True,False,True
20.8,-0.6487709389971793,3.54,69.1,4,17.7,5.5,1.59,1.51,1.68,3,3,-0.16999999999999993,257.7,5506.607929515419,False,True,False,True
19.7,-0.6487709389971793,6.43,74.8,3,21.7,6.4,4.0,3.75,3.75,1,2,0.0,201.7,3364.7375504710635,False,True,False,True
20.8,-0.41923181979721047,5.12,81.4,3,16.2,5.5,1.47,1.36,1.43,4,2,-0.06999999999999984,196.2,4831.862745098039,True,True,True,False
22.0,-0.6487709389971793,4.77,85.7,0,13.1,8.7,2.32,2.0,2.1,4,1,-0.10000000000000009,13.1,4332.7556325823225,True,True,False,True
22.5,-0.5730948390990491,2.21,69.8,1,45.2,1.0,4.0,3.86,3.86,4,2,0.0,105.2,8257.632398753894,True,True,True,False
21.1,-0.4084855123133353,4.027431865828092,96.5,4,40.2,5.515947888589398,4.0,3.81,3.75,2,1,0.06000000000000005,280.2,5924.496004103275,False,True,True,True
20.3,6.920948139200525,4.06,82.2,4,11.9,7.2,1.71,1.61,1.61,1,3,0.0,251.9,34731.62055335969,True,True,True,True
20.0,-0.5663658428240993,4.24,71.1,1,34.2,3.6,0.89,0.98,0.98,1,2,0.0,94.2,5084.160305343511,False,True,False,False
20.1,-0.45689411238088506,6.0,84.4,2,43.2,5.4,3.86,4.0,4.0,2,1,0.0,163.2,4117.285714285715,False,True,False,False
22.6,2.339154489031118,4.05,83.1,6,24.4,5.0,0.93,0.76,0.73,4,2,0.030000000000000027,384.4,16732.871287128713,True,True,False,False
24.3,-0.6487709389971793,4.26,78.4,0,24.4,8.3,2.34,2.21,2.13,3,1,0.08000000000000007,24.4,4752.851711026617,True,True,True,True
24.4,-0.26737745609983443,3.95,95.5,2,26.8,5.7,2.82,2.94,2.92,3,1,0.020000000000000018,146.8,6584.848484848485,False,True,False,False
24.5,0.0061010044477547995,5.44,91.7,1,19.9,6.0,1.76,2.09,2.09,2,2,0.0,79.9,5906.987577639751,True,True,False,False
20.3,0.12928180939142656,3.38,91.2,2,39.4,4.0,1.9,1.89,1.88,2,1,0.010000000000000009,159.4,9245.205479452055,False,False,False,True
20.9,0.4488086996713219,3.43,94.5,1,31.5,4.2,1.35,1.22,1.33,2,2,-0.1100000000000001,91.5,10577.200902934537,True,False,True,False
18.1,1.0279041104379028,4.13,92.5,1,45.4,6.6,2.02,2.09,2.13,3,1,-0.040000000000000036,105.4,11381.87134502924,False,True,False,True
17.7,0.5754544355326917,5.37,84.0,2,42.6,8.8,1.87,1.74,1.74,2,1,0.0,162.6,7751.805337519623,False,True,False,False
26.1,0.44921043079221445,3.9,86.6,5,21.0,8.0,3.5,3.4,3.4,3,5,0.0,321.0,9564.285714285714,True,True,False,False
23.3,-0.6487709389971793,3.1,80.6,0,5.0,3.7,1.33,1.15,1.11,4,1,0.039999999999999813,5.0,6097.5609756097565,True,True,False,False
20.5,1.719333585884057,3.81,72.5,3,35.6,7.4,2.13,2.4,2.4,1,2,0.0,215.6,15001.6632016632,True,True,False,False
18.2,0.020362459239439586,2.63,91.6,1,25.7,6.5,2.22,2.03,2.04,2,1,-0.010000000000000231,85.7,10557.851239669422,False,True,False,True
